OBJECTID,OID_,OBJECTID_1,title,category,target,weapon,killedinac,injured,datetimest,ORIG_OID,POINT_X,POINT_Y
-1,,78,IED EXPLOSION RPT,IED,Friendly,CWIED,9,9,7/31/2014 0:00:00,78,598502.095070398063399,4051037.254325477406383
-1,,79,IED EXPLOSION RPT,IED,Friendly,VOIED,7,8,7/31/2014 0:00:00,79,602897.157731555169448,4048903.904596341308206
-1,,80,IED EXPLOSION RPT,IED,Friendly,Unknown,1,8,7/31/2014 0:00:00,80,604518.787111635203473,4049493.452256076969206
-1,,81,ESCALATION OF FORCE RPT,Other,Enemy,Small Arms,0,1,7/31/2014 0:00:00,81,603023.130202415050007,4053296.226405294612050
-1,,82,IED EXPLOSION RPT,IED,Friendly,CWIED,1,0,7/31/2014 0:00:00,82,598436.656516800401732,4051570.701184571254998
-1,,83,ATTACK RPT,Attack,Friendly,Small Arms,0,0,7/31/2014 0:00:00,83,598350.577310151769780,4051447.244052737019956
-1,,84,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,8,0,7/31/2014 0:00:00,84,603493.560443711932749,4051367.402823168318719
-1,,85,IED EXPLOSION RPT,IED,Friendly,VOIED,1,0,7/31/2014 0:00:00,85,598562.163963367231190,4051108.355120099149644
-1,,86,UNEXPLODED ORDNANCE RPT,Unexploded Ordnance,Friendly,,0,2,7/31/2014 0:00:00,86,596342.714828566415235,4053524.199146113824099
-1,,87,IED EXPLOSION RPT,IED,Friendly,VOIED,8,0,7/31/2014 0:00:00,87,601341.486305820639245,4051308.682484531309456
-1,,88,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,3,8,7/31/2014 0:00:00,88,602669.101376972277649,4049267.080281491857022
-1,,89,IED EXPLOSION RPT,IED,Friendly,VOIED,2,0,7/31/2014 0:00:00,89,602909.888346006046049,4051901.530155410058796
-1,,90,IED EXPLOSION RPT,IED,Friendly,CWIED,8,0,8/1/2014 0:00:00,90,595291.766510021639988,4051383.275446883402765
-1,,91,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,0,8,8/1/2014 0:00:00,91,604720.699370383983478,4049494.818318437319249
-1,,92,UNEXPLODED ORDNANCE RPT,Unexploded Ordnance,Friendly,Unknown,9,9,8/1/2014 0:00:00,92,600519.006639276049100,4050297.656921547837555
-1,,93,ESCALATION OF FORCE RPT,Other,Enemy,Unknown,3,5,8/1/2014 0:00:00,93,596342.019967128988355,4045817.152487131766975
-1,,94,IED EXPLOSION RPT,IED,Friendly,VOIED,9,9,8/1/2014 0:00:00,94,604103.872557592228986,4050183.457957766018808
-1,,95,ARREST RPT,Arrest,Neutral,Small Arms,1,0,8/1/2014 0:00:00,95,604991.199489998165518,4052185.019405324477702
-1,,96,ATTACK RPT,Attack,Friendly,Small Arms,4,0,8/1/2014 0:00:00,96,603934.066503077512607,4051251.387002881616354
-1,,97,IED EXPLOSION RPT,IED,Friendly,VOIED,0,1,8/1/2014 0:00:00,97,603306.524748611147515,4053206.241910485550761
-1,,98,IED EXPLOSION RPT,IED,Friendly,Unknown,9,1,8/1/2014 0:00:00,98,602662.220131053938530,4052604.315980356652290
-1,,99,ARREST RPT,Arrest,Enemy,Unknown,9,0,8/1/2014 0:00:00,99,602143.986631538718939,4052084.897552765440196
-1,,100,IED EXPLOSION RPT,IED,Neutral,CWIED,0,1,8/1/2014 0:00:00,100,595405.296450402936898,4053099.751138383522630
-1,,101,IED EXPLOSION RPT,IED,Friendly,Unknown,9,5,8/1/2014 0:00:00,101,596141.153702140436508,4046016.422017723787576
-1,,102,ATTACK RPT,Attack,Neutral,Small Arms,9,2,8/1/2014 0:00:00,102,596216.144031733041629,4053981.541112963575870
-1,,103,IED EXPLOSION RPT,IED,Friendly,Unknown,9,0,8/1/2014 0:00:00,103,601371.155372266890481,4051334.742303519975394
-1,,104,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,0,8,8/1/2014 0:00:00,104,600890.457363000256009,4049908.965927294455469
-1,,105,IED EXPLOSION RPT,IED,Friendly,VOIED,9,8,8/1/2014 0:00:00,105,598432.070096446899697,4049652.649267247412354
-1,,106,ARSON,Arson,Friendly,Small Arms,4,0,8/1/2014 0:00:00,106,601471.783231110079214,4051169.600620429962873
-1,,107,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,9,2,8/1/2014 0:00:00,107,596659.095998060656711,4053437.994869092945009
-1,,108,ATTACK RPT,Attack,Friendly,Hand Grenade,4,2,8/1/2014 0:00:00,108,603693.636118777445517,4053637.803266091737896
-1,,109,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,0,8,8/2/2014 0:00:00,109,596470.282782937982120,4049790.405008263885975
-1,,110,DETAIN RPT,Detain,Enemy,Unknown,9,9,8/2/2014 0:00:00,110,602481.146305536385626,4050257.869759301654994
-1,,111,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,4,5,8/2/2014 0:00:00,111,597237.759715855121613,4046109.472799728158861
-1,,112,MINE FOUND/CLEARED RPT,Mine,Friendly,Mine,9,9,8/2/2014 0:00:00,112,601982.217009578598663,4050527.879814788699150
-1,,113,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,0,3,8/2/2014 0:00:00,113,604433.907293744850904,4054532.241665407549590
-1,,114,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,3,0,8/2/2014 0:00:00,114,603863.235077705234289,4051967.691980102565140
-1,,115,MINE STRIKE RPT,Mine,Neutral,Mine,8,4,8/2/2014 0:00:00,115,595865.616234427085146,4044699.988742070738226
-1,,116,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,0,8,8/2/2014 0:00:00,116,600508.164646629244089,4049710.583996487315744
-1,,117,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,9,9,8/2/2014 0:00:00,117,602063.837130838888697,4050701.722930757794529
-1,,118,ESCALATION OF FORCE RPT,Other,Enemy,Small Arms,9,0,8/2/2014 0:00:00,118,603523.327937960741110,4051805.005195159465075
-1,,119,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,0,4,8/2/2014 0:00:00,119,596089.312810664763674,4045401.917873906437308
-1,,120,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,9,9,8/2/2014 0:00:00,120,603120.851711060968228,4050090.891838695388287
-1,,121,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,8,8,8/2/2014 0:00:00,121,604644.951393591123633,4049109.351436751894653
-1,,122,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,1,9,8/2/2014 0:00:00,122,601717.665845627430826,4050728.809957564342767
-1,,123,INDIRECT FIRE RPT,Indirect Fire,Neutral,Mortar,0,1,8/2/2014 0:00:00,123,595651.591958763194270,4052866.588429398369044
-1,,124,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,9,8,8/2/2014 0:00:00,124,602701.347968743881211,4049396.769467323552817
-1,,125,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,4,8,8/2/2014 0:00:00,125,604881.256937999627553,4049612.743345816619694
-1,,126,INDIRECT FIRE RPT,Indirect Fire,Neutral,Mortar,7,0,8/2/2014 0:00:00,126,603842.918529144139029,4051753.269838492386043
-1,,127,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,2,9,8/2/2014 0:00:00,127,599645.248961788951419,4050018.616075142286718
-1,,128,IED EXPLOSION RPT,IED,Friendly,VOIED,9,4,8/2/2014 0:00:00,128,596463.140023889020085,4044734.128506940323859
-1,,129,ESCALATION OF FORCE RPT,Other,Enemy,Small Arms,9,6,8/3/2014 0:00:00,129,596902.723736215615645,4047445.720786127727479
-1,,130,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,9,9,8/3/2014 0:00:00,130,601169.909198513021693,4050505.552745801396668
-1,,131,IED EXPLOSION,IED,Friendly,Unknown,1,0,8/3/2014 0:00:00,131,597419.465736326179467,4051628.163512954488397
-1,,132,MINE FOUND/CLEARED RPT,Mine,Friendly,Mine,1,9,8/3/2014 0:00:00,132,594178.458134153857827,4050465.195025404449552
-1,,133,PROPAGANDA,Propaganda,Friendly,Small Arms,1,1,8/3/2014 0:00:00,133,603116.091831773170270,4053056.171919369604439
-1,,134,DETAIN RPT,Detain,Enemy,Unknown,9,5,8/3/2014 0:00:00,134,596748.082732406910509,4046021.869461881928146
-1,,135,SURVEILLANCE RPT,Surveillance,Enemy,Unknown,9,5,8/3/2014 0:00:00,135,597075.200980166671798,4046539.991496663540602
-1,,136,ATTACK RPT,Arrest,Neutral,Small Arms,3,2,8/3/2014 0:00:00,136,604817.297329788794741,4053637.409726816229522
-1,,137,MINE FOUND/CLEARED RPT,Mine,Friendly,Mine,1,1,8/3/2014 0:00:00,137,597567.895587748615071,4052487.780622276011854
-1,,138,ASSASSINATION,Assassination,Neutral,Small Arms,0,9,8/3/2014 0:00:00,138,600193.445504912757315,4050880.653497443068773
-1,,139,DISTURBANCE,Disturbance,Friendly,Small Arms,9,4,8/3/2014 0:00:00,139,596148.914955619606189,4044922.203133937902749
-1,,140,INDIRECT FIRE RPT,Indirect Fire,Friendly,Small Arms,9,9,8/3/2014 0:00:00,140,600295.800452503259294,4050267.662537210620940
-1,,141,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,1,0,8/3/2014 0:00:00,141,603974.488096185494214,4051250.986162351444364
-1,,142,DISTURBANCE,Disturbance,Enemy,Small Arms,9,5,8/3/2014 0:00:00,142,595956.991834499291144,4045739.317191415466368
-1,,143,UNEXPLODED ORDNANCE RPT,Unexploded Ordnance,Friendly,Unknown,9,9,8/3/2014 0:00:00,143,593638.937518552178517,4050677.953008999116719
-1,,144,MINE FOUND/CLEARED RPT,Mine,Friendly,Mine,4,2,8/3/2014 0:00:00,144,596769.563990395865403,4053417.115261781029403
-1,,145,INDIRECT FIRE RPT (Rocket),Indirect Fire,Friendly,Rocket,0,9,8/4/2014 0:00:00,145,601348.772904906305484,4050812.911759817507118
-1,,146,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,8,9,8/4/2014 0:00:00,146,601848.967746514943428,4050743.979236731771380
-1,,147,IED EXPLOSION RPT,IED,Friendly,VOIED,9,0,8/4/2014 0:00:00,147,596376.679586970130913,4051871.065034755039960
-1,,148,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,1,0,8/4/2014 0:00:00,148,596231.385810308158398,4051738.118006270844489
-1,,149,ARREST RPT,Arrest,Enemy,Unknown,0,9,8/4/2014 0:00:00,149,596012.158990854746662,4050962.908901477232575
-1,,150,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,5,0,8/4/2014 0:00:00,150,596390.736977624823339,4051875.382083348464221
-1,,151,IED EXPLOSION RPT,IED,Friendly,Unknown,8,0,8/4/2014 0:00:00,151,601520.008083500200883,4051109.131236011628062
-1,,152,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,1,2,8/4/2014 0:00:00,152,604936.848079446703196,4053663.267677478957921
-1,,153,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,0,5,8/4/2014 0:00:00,153,596606.376663147704676,4046319.057621561456472
-1,,154,SURVEILLANCE RPT,Surveillance,Enemy,Unknown,9,4,8/4/2014 0:00:00,154,597098.536682341597043,4045349.443589076865464
-1,,155,DISTURBANCE,Disturbance,Friendly,Small Arms,0,9,8/4/2014 0:00:00,155,599252.381336884107441,4050097.344541112426668
-1,,156,UNEXPLODED ORDNANCE RPT,Unexploded Ordnance,Friendly,Unknown,5,9,8/4/2014 0:00:00,156,600236.563646542141214,4050267.032629503868520
-1,,157,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,5,9,8/4/2014 0:00:00,157,600375.654605567455292,4050418.847873076796532
-1,,158,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,1,8,8/4/2014 0:00:00,158,599005.487084038089961,4049202.354101729579270
-1,,159,IED EXPLOSION RPT,IED,Friendly,CWIED,2,2,8/4/2014 0:00:00,159,604728.398347560898401,4053679.439980672672391
-1,,160,DETAIN RPT,Detain,Enemy,Unknown,6,2,8/4/2014 0:00:00,160,596504.333703349693678,4053334.715458121616393
-1,,161,IED EXPLOSION RPT,IED,Friendly,VOIED,0,8,8/4/2014 0:00:00,161,602775.031155598000623,4049714.923034876585007
-1,,162,IED EXPLOSION RPT,IED,Friendly,VOIED,0,8,8/4/2014 0:00:00,162,600367.228549976600334,4049555.803228368051350
-1,,163,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,9,2,8/4/2014 0:00:00,163,596150.842046669451520,4053606.538235301151872
-1,,164,IED EXPLOSION RPT,IED,Friendly,Unknown,3,0,8/4/2014 0:00:00,164,595432.458509904798120,4051174.456008964683861
-1,,165,DETAIN RPT,Detain,Neutral,Unknown,6,1,8/4/2014 0:00:00,165,603570.868201580480672,4052700.016514030285180
-1,,166,DETAIN RPT,Detain,Enemy,Unknown,5,8,8/4/2014 0:00:00,166,599119.068905530846678,4049178.222563187591732
-1,,167,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,1,9,8/4/2014 0:00:00,167,597697.057116630719975,4050653.176458972506225
-1,,168,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,0,2,8/4/2014 0:00:00,168,604610.336643635877408,4054177.278871754650027
-1,,169,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,5,5,8/4/2014 0:00:00,169,596121.066239434527233,4045941.238064246717840
-1,,170,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,9,1,8/5/2014 0:00:00,170,596235.359612795058638,4053199.708188282325864
-1,,171,ATTACK RPT,Attack,Friendly,Small Arms,9,1,8/5/2014 0:00:00,171,604079.689023199025542,4053189.844735871534795
-1,,172,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,0,4,8/5/2014 0:00:00,172,597326.153948465595022,4044910.101424687542021
-1,,173,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,9,5,8/5/2014 0:00:00,173,596658.165106965578161,4045780.914865035098046
-1,,174,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,9,9,8/5/2014 0:00:00,174,603651.045782149070874,4050446.966163325123489
-1,,175,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,9,8,8/5/2014 0:00:00,175,604549.690297757508233,4049768.061985641717911
-1,,176,ARREST RPT,Arrest,Enemy,Unknown,5,1,8/5/2014 0:00:00,176,595405.296450402936898,4053099.751138383522630
-1,,177,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,9,1,8/5/2014 0:00:00,177,603682.308100820402615,4052592.965084327384830
-1,,178,IED EXPLOSION RPT,IED,Friendly,VOIED,9,9,8/5/2014 0:00:00,178,597655.934320296859369,4050731.722595277242362
-1,,179,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,8,1,8/5/2014 0:00:00,179,596385.649200331303291,4052284.215126719325781
-1,,180,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,0,8,8/5/2014 0:00:00,180,600327.817629345459864,4049789.497715191449970
-1,,181,IED EXPLOSION RPT,IED,Friendly,VOIED,0,5,8/27/2014 0:00:00,181,596327.594685625517741,4046187.966367167420685
-1,,182,IED EXPLOSION RPT,IED,Friendly,VOIED,0,1,8/27/2014 0:00:00,182,597499.239238918293267,4052795.189605117775500
-1,,183,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,0,9,8/27/2014 0:00:00,183,603648.446711906348355,4050465.152552885003388
-1,,184,DIRECT FIRE RPT,Direct Fire,Friendly,RPG,0,1,8/27/2014 0:00:00,184,597221.033775911433622,4052381.860735042486340
-1,,185,IED EXPLOSION RPT,IED,Friendly,Unknown,5,6,8/27/2014 0:00:00,185,597019.324909047456458,4047311.574150981847197
-1,,186,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,3,5,8/27/2014 0:00:00,186,597270.530076118302532,4046136.256818472407758
-1,,187,IED EXPLOSION RPT,IED,Friendly,Unknown,1,0,8/27/2014 0:00:00,187,604299.366874743718654,4051660.280280603095889
-1,,188,ATTACK RPT,Attack,Friendly,Small Arms,0,2,8/27/2014 0:00:00,188,596111.710929003776982,4053683.767756162676960
-1,,189,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,9,1,8/27/2014 0:00:00,189,595689.583465038682334,4053138.811462885234505
-1,,190,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,0,4,8/27/2014 0:00:00,190,596728.871109974221326,4045203.928230476565659
