ID,title,category,target,weapon,killedinac,injured,datetimest,MGRS,GARS,GEOREF,USNG,UTM
17,,IED,,,0,0,,10SFF0220049804,117LP35,DJPG0854935295,10S FF 02200 49804,10S 602200 4049803
18,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,2,0,7/27/2014 0:00,10SEF9634651343,117LP34,DJPG0463436164,10S EF 96346 51343,10S 596345 4051343
19,ATTACK RPT,Attack,Friendly,Small Arms,9,0,7/27/2014 0:00,10SEF9832351170,117LP35,DJPG0595936058,10S EF 98323 51170,10S 598322 4051170
20,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,4,9,7/28/2014 0:00,10SFF0464350488,117LP36,DJPG1019235649,10S FF 04643 50488,10S 604642 4050488
21,INDIRECT FIRE RPT,Indirect Fire,Friendly,Small Arms,2,5,7/28/2014 0:00,10SEF9610546169,117LP37,DJPG0443333367,10S EF 96105 46169,10S 596104 4046169
22,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,1,8,7/28/2014 0:00,10SFF0098949795,117LP35,DJPG0773635298,10S FF 00989 49795,10S 600989 4049795
23,IED EXPLOSION RPT,IED,Friendly,CWIED,8,9,7/28/2014 0:00,10SFF0272350270,117LP35,DJPG0890335544,10S FF 02723 50270,10S 602723 4050270
24,ESCALATION OF FORCE RPT,Other,Enemy,Small Arms,9,9,7/28/2014 0:00,10SFF0346150289,117LP35,DJPG0939835549,10S FF 03461 50289,10S 603461 4050289
25,ATTACK RPT,Attack,Friendly,Rocket,9,0,7/28/2014 0:00,10SEF9810851273,117LP35,DJPG0581536115,10S EF 98108 51273,10S 598108 4051273
26,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,2,9,7/28/2014 0:00,10SFF0380950578,117LP35,DJPG0963335703,10S FF 03809 50578,10S 603808 4050578
27,IED EXPLOSION RPT,IED,Friendly,VOIED,0,8,7/28/2014 0:00,10SEF9884249344,117LP35,DJPG0629335067,10S EF 98842 49344,10S 598842 4049344
28,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,8,4,7/28/2014 0:00,10SEF9610645234,117LP37,DJPG0442832861,10S EF 96106 45234,10S 596106 4045233
29,ARREST RPT,Arrest,Enemy,Unknown,3,9,7/28/2014 0:00,10SFF0233550261,117LP35,DJPG0864335541,10S FF 02335 50261,10S 602335 4050260
30,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,0,0,7/28/2014 0:00,10SFF0136951334,117LP35,DJPG0800336127,10S FF 01369 51334,10S 601369 4051334
31,IED EXPLOSION RPT,IED,Friendly,VOIED,9,9,7/28/2014 0:00,10SEF9962150727,117LP35,DJPG0682635810,10S EF 99621 50727,10S 599621 4050727
32,IED EXPLOSION RPT,IED,Friendly,VOIED,8,2,7/28/2014 0:00,10SFF0515954108,117LP36,DJPG1056837603,10S FF 05159 54108,10S 605158 4054107
33,IED EXPLOSION RPT,IED,Friendly,RCIED,0,7,7/28/2014 0:00,10SFF0290048842,117LP38,DJPG0901034770,10S FF 02900 48842,10S 602899 4048841
34,SMALL UNIT ACTIONS RPT,Other,Enemy,Small Arms,0,2,7/28/2014 0:00,10SFF0350853414,117LP35,DJPG0945437238,10S FF 03508 53414,10S 603507 4053413
35,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,0,9,7/28/2014 0:00,10SEF9782950791,117LP35,DJPG0562435856,10S EF 97829 50791,10S 597828 4050791
36,SURVEILLANCE RPT,Surveillance,Enemy,Unknown,0,9,7/28/2014 0:00,10SEF9859150634,117LP35,DJPG0613435766,10S EF 98591 50634,10S 598591 4050633
37,UNEXPLODED ORDNANCE RPT,Unexploded Ordnance,Friendly,Unknown,9,1,7/28/2014 0:00,10SFF0294352824,117LP35,DJPG0907136923,10S FF 02943 52824,10S 602942 4052823
38,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,4,0,7/28/2014 0:00,10SFF0319651513,117LP35,DJPG0923036213,10S FF 03196 51513,10S 603195 4051513
39,IED EXPLOSION RPT,IED,Friendly,VOIED,6,1,7/28/2014 0:00,10SEF9638253039,117LP34,DJPG0467137080,10S EF 96382 53039,10S 596382 4053038
40,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,8,1,7/28/2014 0:00,10SFF0203652235,117LP35,DJPG0845736610,10S FF 02036 52235,10S 602035 4052234
41,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,8,9,7/28/2014 0:00,10SFF0436350790,117LP36,DJPG1000635814,10S FF 04363 50790,10S 604362 4050789
42,IED EXPLOSION RPT,IED,Friendly,VOIED,1,2,7/29/2014 0:00,10SEF9606053947,117LP34,DJPG0446237574,10S EF 96060 53947,10S 596059 4053946
43,ATTACK RPT,Attack,Friendly,Rocket,0,0,7/29/2014 0:00,10SFF0184451975,117LP35,DJPG0832736471,10S FF 01844 51975,10S 601844 4051974
44,DISTURBANCE,Disturbance,Neutral,Small Arms,0,9,7/29/2014 0:00,10SFF0006550440,117LP35,DJPG0712235652,10S FF 00065 50440,10S 600065 4050440
45,ATTACK RPT,Attack,Friendly,Rocket,4,0,7/29/2014 0:00,10SFF0382051870,117LP35,DJPG0965136401,10S FF 03820 51870,10S 603819 4051869
46,IED EXPLOSION RPT,IED,Friendly,CWIED,8,2,7/29/2014 0:00,10SEF9677053419,117LP34,DJPG0493437283,10S EF 96770 53419,10S 596769 4053418
47,SURVEILLANCE RPT,Surveillance,Enemy,Unknown,5,5,7/29/2014 0:00,10SEF9662946154,117LP37,DJPG0478533356,10S EF 96629 46154,10S 596629 4046154
48,INDIRECT FIRE RPT (Rocket),Indirect Fire,Friendly,Rocket,9,0,7/29/2014 0:00,10SFF0136351318,117LP35,DJPG0799936119,10S FF 01363 51318,10S 601362 4051317
49,UNEXPLODED ORDNANCE RPT,Unexploded Ordnance,Friendly,Unknown,0,8,7/29/2014 0:00,10SFF0042649599,117LP35,DJPG0735735195,10S FF 00426 49599,10S 600425 4049598
50,IED EXPLOSION RPT,IED,Friendly,Unknown,1,2,7/29/2014 0:00,10SFF0460053689,117LP36,DJPG1018937380,10S FF 04600 53689,10S 604600 4053688
51,INDIRECT FIRE RPT,Other,Friendly,Mortar,1,8,7/29/2014 0:00,10SEF9939149239,117LP35,DJPG0666035007,10S EF 99391 49239,10S 599390 4049238
52,IED EXPLOSION RPT,IED,Friendly,VOIED,0,9,7/29/2014 0:00,10SFF0280650285,117LP35,DJPG0895835551,10S FF 02806 50285,10S 602806 4050285
53,IED EXPLOSION RPT,IED,Friendly,VOIED,8,0,7/29/2014 0:00,10SEF9510951296,117LP34,DJPG0380436145,10S EF 95109 51296,10S 595108 4051295
54,IED EXPLOSION RPT,IED,Friendly,CWIED,5,0,7/29/2014 0:00,10SFF0200751374,117LP35,DJPG0843136145,10S FF 02007 51374,10S 602006 4051374
55,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,2,9,7/29/2014 0:00,10SFF0037650242,117LP35,DJPG0732935543,10S FF 00376 50242,10S 600376 4050241
56,IED EXPLOSION RPT,IED,Friendly,Unknown,8,0,7/29/2014 0:00,10SEF9797151316,117LP35,DJPG0572436139,10S EF 97971 51316,10S 597971 4051315
57,IED EXPLOSION RPT,IED,Friendly,VOIED,7,5,7/29/2014 0:00,10SEF9667446350,117LP37,DJPG0481733461,10S EF 96674 46350,10S 596674 4046349
58,IED EXPLOSION RPT,IED,Friendly,RCIED,9,0,7/30/2014 0:00,10SFF0379152000,117LP35,DJPG0963336472,10S FF 03791 52000,10S 603790 4051999
59,MURDER,Murder,Friendly,Small Arms,1,1,7/30/2014 0:00,10SFF0487053285,117LP36,DJPG1036737160,10S FF 04870 53285,10S 604870 4053284
60,ESCALATION OF FORCE RPT,Other,Enemy,Unknown,4,1,7/30/2014 0:00,10SFF0433953104,117LP36,DJPG1000937066,10S FF 04339 53104,10S 604338 4053104
61,IED EXPLOSION RPT,IED,Friendly,VOIED,2,9,7/30/2014 0:00,10SFF0364850465,117LP35,DJPG0952535643,10S FF 03648 50465,10S 603648 4050465
62,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,1,0,7/30/2014 0:00,10SEF9458351272,117LP34,DJPG0345136136,10S EF 94583 51272,10S 594582 4051272
63,ATTACK RPT,Attack,Friendly,Small Arms,2,0,7/30/2014 0:00,10SFF0384351753,117LP35,DJPG0966636338,10S FF 03843 51753,10S 603842 4051753
64,IED EXPLOSION RPT,IED,Friendly,VOIED,0,6,7/30/2014 0:00,10SEF9703547339,117LP38,DJPG0506633994,10S EF 97035 47339,10S 597035 4047339
65,IED EXPLOSION RPT,IED,Friendly,RCIED,6,3,7/30/2014 0:00,10SFF0559655172,117LP36,DJPG1087038175,10S FF 05596 55172,10S 605595 4055171
66,IED EXPLOSION RPT,IED,Friendly,VOIED,9,1,7/30/2014 0:00,10SFF0434152683,117LP36,DJPG1000836838,10S FF 04341 52683,10S 604341 4052682
67,IED EXPLOSION RPT,IED,Friendly,Unknown,0,2,7/30/2014 0:00,10SFF0346853770,117LP35,DJPG0943037431,10S FF 03468 53770,10S 603467 4053769
68,ESCALATION OF FORCE RPT,Other,Enemy,Small Arms,9,0,7/30/2014 0:00,10SEF9500951265,117LP34,DJPG0373636129,10S EF 95009 51265,10S 595008 4051264
69,ESCALATION OF FORCE RPT,Other,Enemy,Unknown,0,7,7/30/2014 0:00,10SFF0292448842,117LP38,DJPG0902634770,10S FF 02924 48842,10S 602924 4048842
70,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,0,6,7/30/2014 0:00,10SEF9703747351,117LP38,DJPG0506834000,10S EF 97037 47351,10S 597037 4047350
71,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,9,2,7/30/2014 0:00,10SFF0454554403,117LP36,DJPG1015837767,10S FF 04545 54403,10S 604544 4054403
72,IED EXPLOSION RPT,IED,Friendly,VOIED,9,8,7/30/2014 0:00,10SFF0073449402,117LP35,DJPG0756235087,10S FF 00734 49402,10S 600733 4049402
73,IED EXPLOSION RPT,IED,Friendly,VOIED,2,9,7/30/2014 0:00,10SFF0187450700,117LP35,DJPG0833635781,10S FF 01874 50700,10S 601873 4050700
74,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,4,2,7/30/2014 0:00,10SEF9640753767,117LP34,DJPG0469337474,10S EF 96407 53767,10S 596407 4053766
75,INDIRECT FIRE RPT (Rocket),Indirect Fire,Friendly,Rocket,9,1,7/30/2014 0:00,10SEF9739552681,117LP35,DJPG0534836881,10S EF 97395 52681,10S 597395 4052681
76,IED EXPLOSION RPT,IED,Friendly,Unknown,9,0,7/31/2014 0:00,10SEF9738551696,117LP35,DJPG0533336348,10S EF 97385 51696,10S 597384 4051695
77,ARREST RPT,Arrest,Neutral,Small Arms,8,9,7/31/2014 0:00,10SFF0283851065,117LP35,DJPG0898635973,10S FF 02838 51065,10S 602837 4051065
78,IED EXPLOSION RPT,IED,Friendly,CWIED,9,9,7/31/2014 0:00,10SEF9850251037,117LP35,DJPG0607835985,10S EF 98502 51037,10S 598502 4051037
79,IED EXPLOSION RPT,IED,Friendly,VOIED,7,8,7/31/2014 0:00,10SFF0289748904,117LP38,DJPG0900934803,10S FF 02897 48904,10S 602897 4048903
80,IED EXPLOSION RPT,IED,Friendly,Unknown,1,8,7/31/2014 0:00,10SFF0451949493,117LP36,DJPG1010135112,10S FF 04519 49493,10S 604518 4049493
81,ESCALATION OF FORCE RPT,Other,Enemy,Small Arms,0,1,7/31/2014 0:00,10SFF0302353296,117LP35,DJPG0912837178,10S FF 03023 53296,10S 603023 4053296
82,IED EXPLOSION RPT,IED,Friendly,CWIED,1,0,7/31/2014 0:00,10SEF9843751571,117LP35,DJPG0603836274,10S EF 98437 51571,10S 598436 4051570
83,ATTACK RPT,Attack,Friendly,Small Arms,0,0,7/31/2014 0:00,10SEF9835151447,117LP35,DJPG0597936208,10S EF 98351 51447,10S 598350 4051447
84,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,8,0,7/31/2014 0:00,10SFF0349451367,117LP35,DJPG0942836132,10S FF 03494 51367,10S 603493 4051367
85,IED EXPLOSION RPT,IED,Friendly,VOIED,1,0,7/31/2014 0:00,10SEF9856251108,117LP35,DJPG0611936023,10S EF 98562 51108,10S 598562 4051108
86,UNEXPLODED ORDNANCE RPT,Unexploded Ordnance,Friendly,,0,2,7/31/2014 0:00,10SEF9634353524,117LP34,DJPG0464837343,10S EF 96343 53524,10S 596342 4053524
87,IED EXPLOSION RPT,IED,Friendly,VOIED,8,0,7/31/2014 0:00,10SFF0134151309,117LP35,DJPG0798436114,10S FF 01341 51309,10S 601341 4051308
88,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,3,8,7/31/2014 0:00,10SFF0266949267,117LP35,DJPG0885935001,10S FF 02669 49267,10S 602669 4049267
89,IED EXPLOSION RPT,IED,Friendly,VOIED,2,0,7/31/2014 0:00,10SFF0291051902,117LP35,DJPG0904136424,10S FF 02910 51902,10S 602909 4051901
90,IED EXPLOSION RPT,IED,Friendly,CWIED,8,0,8/1/2014 0:00,10SEF9529251383,117LP34,DJPG0392736192,10S EF 95292 51383,10S 595291 4051383
91,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,0,8,8/1/2014 0:00,10SFF0472149495,117LP36,DJPG1023635111,10S FF 04721 49495,10S 604720 4049494
92,UNEXPLODED ORDNANCE RPT,Unexploded Ordnance,Friendly,Unknown,9,9,8/1/2014 0:00,10SFF0051950298,117LP35,DJPG0742535572,10S FF 00519 50298,10S 600519 4050297
93,ESCALATION OF FORCE RPT,Other,Enemy,Unknown,3,5,8/1/2014 0:00,10SEF9634245817,117LP37,DJPG0459033175,10S EF 96342 45817,10S 596342 4045817
94,IED EXPLOSION RPT,IED,Friendly,VOIED,9,9,8/1/2014 0:00,10SFF0410450183,117LP35,DJPG0982835488,10S FF 04104 50183,10S 604103 4050183
95,ARREST RPT,Arrest,Neutral,Small Arms,1,0,8/1/2014 0:00,10SFF0499152185,117LP36,DJPG1044036564,10S FF 04991 52185,10S 604991 4052185
96,ATTACK RPT,Attack,Friendly,Small Arms,4,0,8/1/2014 0:00,10SFF0393451251,117LP35,DJPG0972336066,10S FF 03934 51251,10S 603934 4051251
97,IED EXPLOSION RPT,IED,Friendly,VOIED,0,1,8/1/2014 0:00,10SFF0330753206,117LP35,DJPG0931837127,10S FF 03307 53206,10S 603306 4053206
98,IED EXPLOSION RPT,IED,Friendly,Unknown,9,1,8/1/2014 0:00,10SFF0266252604,117LP35,DJPG0888136806,10S FF 02662 52604,10S 602662 4052604
99,ARREST RPT,Arrest,Enemy,Unknown,9,0,8/1/2014 0:00,10SFF0214452085,117LP35,DJPG0852936529,10S FF 02144 52085,10S 602143 4052084
100,IED EXPLOSION RPT,IED,Neutral,CWIED,0,1,8/1/2014 0:00,10SEF9540553100,117LP34,DJPG0401637119,10S EF 95405 53100,10S 595405 4053099
101,IED EXPLOSION RPT,IED,Friendly,Unknown,9,5,8/1/2014 0:00,10SEF9614146016,117LP37,DJPG0445733284,10S EF 96141 46016,10S 596141 4046016
102,ATTACK RPT,Attack,Neutral,Small Arms,9,2,8/1/2014 0:00,10SEF9621653982,117LP34,DJPG0456737591,10S EF 96216 53982,10S 596216 4053981
103,IED EXPLOSION RPT,IED,Friendly,Unknown,9,0,8/1/2014 0:00,10SFF0137151335,117LP35,DJPG0800536128,10S FF 01371 51335,10S 601371 4051334
104,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,0,8,8/1/2014 0:00,10SFF0089049909,117LP35,DJPG0767135360,10S FF 00890 49909,10S 600890 4049908
105,IED EXPLOSION RPT,IED,Friendly,VOIED,9,8,8/1/2014 0:00,10SEF9843249653,117LP35,DJPG0602035237,10S EF 98432 49653,10S 598432 4049652
106,ARSON,Arson,Friendly,Small Arms,4,0,8/1/2014 0:00,10SFF0147251170,117LP35,DJPG0807136038,10S FF 01472 51170,10S 601471 4051169
107,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,9,2,8/1/2014 0:00,10SEF9665953438,117LP34,DJPG0486037295,10S EF 96659 53438,10S 596659 4053437
108,ATTACK RPT,Attack,Friendly,Hand Grenade,4,2,8/1/2014 0:00,10SFF0369453638,117LP35,DJPG0958137358,10S FF 03694 53638,10S 603693 4053637
109,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,0,8,8/2/2014 0:00,10SEF9647049790,117LP34,DJPG0470635323,10S EF 96470 49790,10S 596470 4049790
110,DETAIN RPT,Detain,Enemy,Unknown,9,9,8/2/2014 0:00,10SFF0248150258,117LP35,DJPG0874035538,10S FF 02481 50258,10S 602481 4050257
111,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,4,5,8/2/2014 0:00,10SEF9723846109,117LP38,DJPG0519233328,10S EF 97238 46109,10S 597237 4046109
112,MINE FOUND/CLEARED RPT,Mine,Friendly,Mine,9,9,8/2/2014 0:00,10SFF0198250528,117LP35,DJPG0840835688,10S FF 01982 50528,10S 601982 4050527
113,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,0,3,8/2/2014 0:00,10SFF0443454532,117LP36,DJPG1008537837,10S FF 04434 54532,10S 604433 4054532
114,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,3,0,8/2/2014 0:00,10SFF0386351968,117LP35,DJPG0968136454,10S FF 03863 51968,10S 603863 4051967
115,MINE STRIKE RPT,Mine,Neutral,Mine,8,4,8/2/2014 0:00,10SEF9586644700,117LP37,DJPG0426232574,10S EF 95866 44700,10S 595865 4044699
116,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,0,8,8/2/2014 0:00,10SFF0050849711,117LP35,DJPG0741335255,10S FF 00508 49711,10S 600508 4049710
117,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,9,9,8/2/2014 0:00,10SFF0206450702,117LP35,DJPG0846435781,10S FF 02064 50702,10S 602063 4050701
118,ESCALATION OF FORCE RPT,Other,Enemy,Small Arms,9,0,8/2/2014 0:00,10SFF0352351805,117LP35,DJPG0945236368,10S FF 03523 51805,10S 603523 4051805
119,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,0,4,8/2/2014 0:00,10SEF9608945402,117LP37,DJPG0441732952,10S EF 96089 45402,10S 596089 4045401
120,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,9,9,8/2/2014 0:00,10SFF0312150091,117LP35,DJPG0916835444,10S FF 03121 50091,10S 603120 4050090
121,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,8,8,8/2/2014 0:00,10SFF0464549109,117LP39,DJPG1018234903,10S FF 04645 49109,10S 604644 4049109
122,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,1,9,8/2/2014 0:00,10SFF0171850729,117LP35,DJPG0823235798,10S FF 01718 50729,10S 601717 4050728
123,INDIRECT FIRE RPT,Indirect Fire,Neutral,Mortar,0,1,8/2/2014 0:00,10SEF9565252867,117LP34,DJPG0418036992,10S EF 95652 52867,10S 595651 4052866
124,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,9,8,8/2/2014 0:00,10SFF0270149397,117LP35,DJPG0888135071,10S FF 02701 49397,10S 602701 4049396
125,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,4,8,8/2/2014 0:00,10SFF0488149613,117LP36,DJPG1034535174,10S FF 04881 49613,10S 604881 4049612
126,INDIRECT FIRE RPT,Indirect Fire,Neutral,Mortar,7,0,8/2/2014 0:00,10SFF0384351753,117LP35,DJPG0966636338,10S FF 03843 51753,10S 603842 4051753
127,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,2,9,8/2/2014 0:00,10SEF9964550019,117LP35,DJPG0683735427,10S EF 99645 50019,10S 599645 4050018
128,IED EXPLOSION RPT,IED,Friendly,VOIED,9,4,8/2/2014 0:00,10SEF9646344734,117LP37,DJPG0466332589,10S EF 96463 44734,10S 596463 4044734
129,ESCALATION OF FORCE RPT,Other,Enemy,Small Arms,9,6,8/3/2014 0:00,10SEF9690347446,117LP37,DJPG0497834052,10S EF 96903 47446,10S 596902 4047445
130,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,9,9,8/3/2014 0:00,10SFF0117050506,117LP35,DJPG0786335681,10S FF 01170 50506,10S 601169 4050505
131,IED EXPLOSION,IED,Friendly,Unknown,1,0,8/3/2014 0:00,10SEF9741951628,117LP35,DJPG0535636311,10S EF 97419 51628,10S 597419 4051628
132,MINE FOUND/CLEARED RPT,Mine,Friendly,Mine,1,9,8/3/2014 0:00,10SEF9417850465,117LP34,DJPG0317435702,10S EF 94178 50465,10S 594178 4050465
133,PROPAGANDA,Propaganda,Friendly,Small Arms,1,1,8/3/2014 0:00,10SFF0311653056,117LP35,DJPG0918937048,10S FF 03116 53056,10S 603116 4053056
134,DETAIN RPT,Detain,Enemy,Unknown,9,5,8/3/2014 0:00,10SEF9674846022,117LP37,DJPG0486433283,10S EF 96748 46022,10S 596748 4046021
135,SURVEILLANCE RPT,Surveillance,Enemy,Unknown,9,5,8/3/2014 0:00,10SEF9707546540,117LP38,DJPG0508733562,10S EF 97075 46540,10S 597075 4046539
136,ATTACK RPT,Arrest,Neutral,Small Arms,3,2,8/3/2014 0:00,10SFF0481753637,117LP36,DJPG1033537351,10S FF 04817 53637,10S 604817 4053637
137,MINE FOUND/CLEARED RPT,Mine,Friendly,Mine,1,1,8/3/2014 0:00,10SEF9756852488,117LP35,DJPG0546236775,10S EF 97568 52488,10S 597567 4052487
138,ASSASSINATION,Assassination,Neutral,Small Arms,0,9,8/3/2014 0:00,10SFF0019350881,117LP35,DJPG0721135890,10S FF 00193 50881,10S 600193 4050880
139,DISTURBANCE,Disturbance,Friendly,Small Arms,9,4,8/3/2014 0:00,10SEF9614944922,117LP37,DJPG0445432692,10S EF 96149 44922,10S 596148 4044922
140,INDIRECT FIRE RPT,Indirect Fire,Friendly,Small Arms,9,9,8/3/2014 0:00,10SFF0029650268,117LP35,DJPG0727535558,10S FF 00296 50268,10S 600295 4050267
141,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,1,0,8/3/2014 0:00,10SFF0397451251,117LP35,DJPG0975036066,10S FF 03974 51251,10S 603974 4051250
142,DISTURBANCE,Disturbance,Enemy,Small Arms,9,5,8/3/2014 0:00,10SEF9595745739,117LP37,DJPG0433133135,10S EF 95957 45739,10S 595956 4045739
143,UNEXPLODED ORDNANCE RPT,Unexploded Ordnance,Friendly,Unknown,9,9,8/3/2014 0:00,10SEF9363950678,117LP34,DJPG0281335820,10S EF 93639 50678,10S 593638 4050677
144,MINE FOUND/CLEARED RPT,Mine,Friendly,Mine,4,2,8/3/2014 0:00,10SEF9677053417,117LP34,DJPG0493437283,10S EF 96770 53417,10S 596769 4053417
145,INDIRECT FIRE RPT (Rocket),Indirect Fire,Friendly,Rocket,0,9,8/4/2014 0:00,10SFF0134950813,117LP35,DJPG0798535846,10S FF 01349 50813,10S 601348 4050812
146,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,8,9,8/4/2014 0:00,10SFF0184950744,117LP35,DJPG0832035805,10S FF 01849 50744,10S 601848 4050743
147,IED EXPLOSION RPT,IED,Friendly,VOIED,9,0,8/4/2014 0:00,10SEF9637751871,117LP34,DJPG0465936449,10S EF 96377 51871,10S 596376 4051871
148,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,1,0,8/4/2014 0:00,10SEF9623151738,117LP34,DJPG0456036378,10S EF 96231 51738,10S 596231 4051738
149,ARREST RPT,Arrest,Enemy,Unknown,0,9,8/4/2014 0:00,10SEF9601250963,117LP34,DJPG0440735960,10S EF 96012 50963,10S 596012 4050962
150,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,5,0,8/4/2014 0:00,10SEF9639151875,117LP34,DJPG0466836451,10S EF 96391 51875,10S 596390 4051875
151,IED EXPLOSION RPT,IED,Friendly,Unknown,8,0,8/4/2014 0:00,10SFF0152051109,117LP35,DJPG0810336005,10S FF 01520 51109,10S 601520 4051109
152,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,1,2,8/4/2014 0:00,10SFF0493753663,117LP36,DJPG1041537364,10S FF 04937 53663,10S 604936 4053663
153,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,0,5,8/4/2014 0:00,10SEF9660646319,117LP37,DJPG0477133445,10S EF 96606 46319,10S 596606 4046319
154,SURVEILLANCE RPT,Surveillance,Enemy,Unknown,9,4,8/4/2014 0:00,10SEF9709945349,117LP38,DJPG0509332918,10S EF 97099 45349,10S 597098 4045349
155,DISTURBANCE,Disturbance,Friendly,Small Arms,0,9,8/4/2014 0:00,10SEF9925250097,117LP35,DJPG0657435472,10S EF 99252 50097,10S 599252 4050097
