AttackMode,Target,TargetSect,TGTType,TargetSubt,TargetNati,Inside,SuicideAtt,CounterAtt,AttackScal,NoAttacks,DMGScale,DMGDetail,EventTitle,TargetGrou,TargetType,TargetReqi,TargetCoun,NonTargetF,TargetFata,TotalFatal,NonTargetW,TargetWoun,TotalWound,Hostages,Injuries,Notes,Source,Descriptio,EvID,Location,Event_DESC
Standoff Weapon,US Military convoy,Military,People,Group,United States,N,N,Attack,Micro,3,Destruction of a vehicle,Blast destroyed vehicle beyond repair,RPG fired at US Military convoy,Taliban,Militant Islamist,South Asia,Afghanistan,3,0,3,1,0,1,0,Minor injury,,US Military,3 people were killed in the attack. One individual suffered minor injuries.,16,42SUD6306439035,IDF/RPG
Standoff Weapon,US Soldiers,Military,People,Group,United States,N,N,Other,Micro,0,No known physical damage,None,Mortar fired at US Soldiers,Taliban,Militant Islamist,South Asia,Afghanistan,4,0,4,1,0,1,0,Major injury,,US Military,Mortar was fired at US Soldiers. 4 people were killed in the attack. One individual suffered minor injuries.,17,42SVF0428713075,Mortar
Ambush,Afghan Police,Military,People,Group,Afghanistan,N,N,Attack,Micro,2,No known physical damage,None,Taliban attacks Afghan Police,Taliban,Militant Islamist,South Asia,Afghanistan,0,0,0,0,1,1,0,None,Target wounded in counterattack;,Afghanistan Government,Afghan Police came under attack. One individual suffered minor injuries.,18,41SNT4229597849,Attack
Ambush,Afghan Police,Military,People,Group,Afghanistan,N,N,Attack,Macro,0,No known physical damage,None,Afghan Policeambushed by Al-Qaeda,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,6,5,11,5,0,5,0,Minor injuries,Target killed in counterattack;,Afghanistan Government,Suspected members of Al-Qaeda ambushed Afghan Police. 11 people were killed in the attack. 5 people suffered minor injuries.,19,42SVB0519056760,Ambush
Explosive Device,Afghan Police,Military,People,Random Selection,Afghanistan,N,Y,Other,Micro,1,No known physical damage,None,Unexploded ordnance discovered,Taliban,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,Afghanistan Government,Unexploded ordnance located.,20,42SUC8544992923,Unexploded Ordnance (UXO)
Ambush,Afghan Soldiers,Military,People,Random Selection,Afghanistan,N,N,Investigation,Micro,1,No known physical damage,None,Afghan Soldiers entered booby trapped building,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,4,0,4,1,0,1,0,Major injury,,Afghanistan Government,Afghan Soldiers entered booby trapped building. 4 people were killed in the attack. One individual suffered minor injuries.,21,42SVE5616938495,Booby Trapped Building
Ambush,Afghan Soldiers,Military,People,Group,Afghanistan,N,N,Attack,Micro,2,No known physical damage,None,Afghan Soldiersambushed by Al-Qaeda,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,5,1,6,4,0,4,2,Major and minor injuries,Target killed in counterattack; Hostages taken;,Afghanistan Government,Suspected members of Al-Qaeda ambushed Afghan Soldiers. 6 people were killed in the attack. 4 people suffered minor injuries.,22,42SWC6513571109,Ambush
Ambush,Afghan Soldiers,Military,People,Group,Afghanistan,N,N,Attack,Micro,2,No known physical damage,None,Al-Qaeda attacks Afghan Soldiers,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,1,1,2,6,0,6,0,Major and minor injuries,Target killed in counterattack;,Afghanistan Government,Afghan Soldiers came under attack. 2 people were killed in the attack. 6 people suffered minor injuries.,23,42STB2926430555,Attack
Explosive Device,Bus Station,Infrastructure|Transport,Transportation,Building,Afghanistan,N,N,Investigation,Micro,1,Destruction of a building,Blast destroyed Bus Station,Bus Station target of explosion,Taliban,Militant Islamist,South Asia,Afghanistan,3,0,3,0,0,0,0,None,,Afghanistan Government,Explosive device detonated. 3 people were killed in the attack.,24,41SPU6589400251,Explosion (Reported)
Ambush,Afghan Soldiers,Military,People,Random Selection,Afghanistan,N,N,Investigation,Micro,1,No known physical damage,None,Afghan Soldiers entered booby trapped building,Taliban,Militant Islamist,South Asia,Afghanistan,0,0,0,2,0,2,0,Minor injuries,,Afghanistan Government,Afghan Soldiers entered booby trapped building. 2 people suffered minor injuries.,25,42SUE2510093465,Booby Trapped Building
Ambush,Afghan government official,Government,People,Individual,Afghanistan,N,N,Legal/Diplomatic,Micro,1,No known physical damage,None,Suspected members of Taliban attempt to kidnapAfghan government official,Taliban,Militant Islamist,South Asia,Afghanistan,1,1,2,0,1,1,0,None,Target killed in counterattack; Target wounded in counterattack;,Afghanistan Government,Suspected members of Taliban attempted a kidnapping of Afghan government official. 2 people were killed in the attack. One individual suffered minor injuries.,26,42SVE8777541859,Attempted Kidnapping
Explosive Device,US Military Checkpoint,Military,People,Group,United States,N,Y,Investigation,Micro,1,No known physical damage,None,Explosive device found and cleared,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,US Military,An explosive device was discovered and disarmed.,27,42SVF8462964053,House Borne IED (HBIED) Found/Cleared
Ambush,Afghan government official,Government,People,Individual,Afghanistan,N,N,Legal/Diplomatic,Micro,1,No known physical damage,None,Suspected members of Al-Qaeda attempt to kidnapAfghan government official,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,1,0,1,1,0,1,0,Minor injury,,Afghanistan Government,Suspected members of Al-Qaeda attempted a kidnapping of Afghan government official. One person was killed in the attack. One individual suffered minor injuries.,28,42SVF2584789353,Attempted Kidnapping
Multimode Attack,US Military Checkpoint,Military,People,Group,United States,N,N,Attack,Macro,0,No known physical damage,None,Grenades thrown at US Military Checkpoint,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,2,0,2,10,0,10,0,Minor injuries,,US Military,Grenades thrown at US Military Checkpoint. 2 people were killed in the attack. 10 people suffered minor injuries.,29,41SPU7426470772,IDF/Grenade
Explosive Device,House,Residential,Building,Building,Afghanistan,N,N,Investigation,Micro,1,Destruction of a building,Blast destroyed House,House target of explosion,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,3,0,3,3,0,3,0,Minor injuries,,Afghanistan Government,Explosive device detonated. 3 people were killed in the attack. 3 people suffered minor injuries.,30,41SPA9446672187,Explosion
Standoff Weapon,Afghan Security Post,Military,People,Group,Afghanistan,N,N,Other,Micro,1,Destruction of a vehicle,Blast destroyed vehicle beyond repair,Mortar fired at Afghan Security Post,Taliban,Militant Islamist,South Asia,Afghanistan,5,0,5,3,0,3,0,Minor injuries,,Afghanistan Government,Mortar was fired at Afghan Security Post. 5 people were killed in the attack. 3 people suffered minor injuries.,31,41SMR6166079560,Mortar
Standoff Weapon,Afghan Soldiers,Military,People,Group,Afghanistan,N,N,Attack,Micro,1,No known physical damage,None,RPG fired at Afghan Soldiers,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,3,0,3,4,0,4,0,Major and minor injuries,,Afghanistan Government,3 people were killed in the attack. 4 people suffered minor injuries.,32,41SPS0321457372,IDF/RPG
Multimode Attack,US Military Checkpoint,Military,People,Group,United States,N,N,Attack,Micro,2,No known physical damage,None,Grenades thrown at US Military Checkpoint,Taliban,Militant Islamist,South Asia,Afghanistan,8,0,8,0,0,0,0,None,,US Military,Grenades thrown at US Military Checkpoint. 8 people were killed in the attack.,33,42SWF0153088797,IDF/Grenade
Explosive Device,US Military Checkpoint,Military,People,Group,United States,N,N,Investigation,Micro,1,No known physical damage,None,Fake IED discovered,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,US Military,A hoax IED was discovered and removed from the premises.,34,42STC6293216226,Hoax IED
Explosive Device,US Military Checkpoint,Military,People,Group,United States,N,N,Investigation,Micro,1,No known physical damage,None,Fake IED discovered,Taliban,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,US Military,A hoax IED was discovered and removed from the premises.,35,42SUD1722909149,Hoax IED
Explosive Device,Afghan Police,Military,People,Random Selection,Afghanistan,N,Y,Other,Micro,1,No known physical damage,None,Unexploded ordnance discovered,Taliban,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,Afghanistan Government,Unexploded ordnance located.,36,42STB9814184227,Unexploded Ordnance (UXO)
Ambush,Civilian,<Null>,<Null>,<Null>,Afghanistan,N,N,Legal/Diplomatic,Micro,1,No known physical damage,None,Civilian murdered,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,1,0,1,1,0,1,0,Major injury,,Afghanistan Government,Civilian murdered by suspected member of Al-Qaeda. One person was killed in the attack. One individual suffered minor injuries.,37,42SWD4310691807,Murder
Explosive Device,US Soldiers,Military,People,Random Selection,United States,N,N,Investigation,Micro,1,No known physical damage,None,Explosive device found and cleared,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,US Military,An explosive device was discovered and disarmed.,38,42SXE3048734735,IED Pre-detonation
Ambush,Civilian,<Null>,<Null>,<Null>,Afghanistan,N,N,Legal/Diplomatic,Micro,1,No known physical damage,None,Civilian murdered,Taliban,Militant Islamist,South Asia,Afghanistan,1,0,1,1,0,1,0,Minor injury,,Afghanistan Government,Civilian murdered by suspected member of Taliban. One person was killed in the attack. One individual suffered minor injuries.,39,41SPS6167810024,Murder
Ambush,Afghan government official,Government,People,Individual,Afghanistan,N,N,Legal/Diplomatic,Micro,1,No known physical damage,None,Afghan government official kidnapped by Taliban,Taliban,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,1,None,Hostages taken;,Afghanistan Government,Afghan government official was kidnapped by members of Taliban.,40,41SLS5598882642,Kidnapping
Explosive Device,US Soldiers,Military,People,Random Selection,United States,N,N,Investigation,Micro,1,No known physical damage,None,Explosive device found and cleared,Taliban,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,US Military,An explosive device was discovered and disarmed.,41,42STE7777869844,IED Pre-detonation
Multimode Attack,US Soldiers,Military,People,Group,United States,N,N,Attack,Macro,2,No known physical damage,None,US Soldiers fired on byTaliban,Taliban,Militant Islamist,South Asia,Afghanistan,5,2,7,2,4,6,0,Major and minor injuries,Target killed in counterattack; Target wounded in counterattack;,US Military,US Soldiers came under attack. 7 people were killed in the attack. 6 people suffered minor injuries.,42,41SLT6864122456,IDF/Small Arms Fire (SAF)
Ambush,Civilians,Civilian,People,Group,Afghanistan,N,N,Investigation,Micro,1,No known physical damage,None,Civilian carjacked,Taliban,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,3,None,Hostages taken;,Afghanistan Government,A carjacking occured.,43,41SPT6868359532,Carjacking
Explosive Device,Bus Station,Infrastructure|Transport,Transportation,Building,Afghanistan,N,N,Investigation,Micro,1,Destruction of a building,Blast destroyed Bus Station,Bus Station target of explosion,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,3,0,3,4,0,4,0,Major and minor injuries,,Afghanistan Government,Explosive device detonated. 3 people were killed in the attack. 4 people suffered minor injuries.,44,41SNU7471436169,Explosion
Ambush,Civilian,<Null>,<Null>,<Null>,Afghanistan,N,N,Legal/Diplomatic,Micro,1,No known physical damage,None,Civilian murdered,Taliban,Militant Islamist,South Asia,Afghanistan,1,0,1,1,0,1,0,Minor injury,,Afghanistan Government,Civilian murdered by suspected member of Taliban. One person was killed in the attack. One individual suffered minor injuries.,45,42SVF6054531029,Murder
Ambush,US Military Checkpoint,Military,People,Group,United States,N,N,Attack,Micro,0,No known physical damage,None,Combat between US Military Checkpoint and members of Al-Qaeda,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,1,2,3,5,1,6,0,Major injuries,Target killed in counterattack; Target wounded in counterattack;,US Military,US Military Checkpoint engaged in combat. 3 people were killed in the attack. The attackers seriously injured 6 people.,46,42SUA7780343726,Combat
Explosive Device,House,Residential,Building,Building,Afghanistan,N,N,Investigation,Micro,1,Damage to a building,Blast caused partial structural damage to House,House target of explosion,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,Afghanistan Government,Explosive device detonated.,47,42SVA4873364308,Bombing
Explosive Device,Railway Station,Infrastructure|Transport,Transportation,Building,Afghanistan,N,N,Investigation,Micro,1,Destruction of a building,Blast destroyed Railway Station,Railway Station target of explosion,Taliban,Militant Islamist,South Asia,Afghanistan,5,0,5,4,0,4,0,Major and minor injuries,,Afghanistan Government,Explosive device detonated. 5 people were killed in the attack. 4 people suffered minor injuries.,48,41SQT4234944940,Explosion
Explosive Device,US Military Checkpoint,Military,People,Group,United States,N,N,Investigation,Micro,1,No known physical damage,None,Fake IED discovered,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,US Military,A hoax IED was discovered and removed from the premises.,49,41RQQ6859206687,Hoax IED
Other,Afghan Soldiers,Military,People,Group,Afghanistan,N,N,Attack,Micro,0,No known physical damage,None,Afghan Soldiers attacked by snipers,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,1,0,1,1,0,1,0,Major injury,,Afghanistan Government,Snipers fired at Afghan Soldiers. One person was killed in the attack. One individual suffered minor injuries.,50,42SXE1644288014,Sniper Ops
Explosive Device,US Military convoy,Military,People,Random Selection,United States,N,N,Investigation,Micro,1,No known physical damage,None,Explosive device found and cleared,Taliban,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,US Military,An explosive device was discovered and disarmed.,51,42SVE7883347368,IED Pre-detonation
Other,Civilians,Civilian,People,Random Selection,United States,N,Y,Other,Micro,1,No known physical damage,None,Suicide vehicle born IED attacke,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,1,1,2,4,0,4,0,Major injuries,Suicide bomber killed in attack;,US Military,A suicide bomber drove a vehicle into a crowded area. 2 people were killed in the attack. The attackers seriously injured 4 people.,52,42SWF0144340351,Suicide Vehichile IED (SVBIED)
Ambush,US Soldiers,Military,People,Group,United States,N,N,Attack,Macro,3,No known physical damage,None,Combat between US Soldiers and members of Al-Qaeda,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,5,0,5,3,4,7,0,Major injuries,Target wounded in counterattack;,US Military,US Soldiers engaged in combat. 5 people were killed in the attack. The attackers seriously injured 7 people.,53,42SVF7605633496,Combat
Ambush,Afghan government official,Government,People,Individual,Afghanistan,N,N,Legal/Diplomatic,Micro,1,No known physical damage,None,Suspected members of Al-Qaeda attempt to kidnapAfghan government official,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,1,0,1,0,1,1,0,None,Target wounded in counterattack;,Afghanistan Government,Suspected members of Al-Qaeda attempted a kidnapping of Afghan government official. One person was killed in the attack. One individual suffered minor injuries.,54,42SVF6149327465,Attempted Kidnapping
Explosive Device,House,Residential,Building,Building,Afghanistan,N,N,Investigation,Micro,1,Damage to a building,Blast caused partial structural damage to House,House target of explosion,Taliban,Militant Islamist,South Asia,Afghanistan,4,0,4,4,0,4,0,Major and minor injuries,,Afghanistan Government,Explosive device detonated. 4 people were killed in the attack. 4 people suffered minor injuries.,55,41SPS6428318228,Explosion
Standoff Weapon,Afghan Security Post,Military,People,Group,Afghanistan,N,N,Other,Micro,2,Destruction of a vehicle,Blast destroyed vehicle beyond repair,Mortar fired at Afghan Security Post,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,0,0,0,1,0,1,0,Major injury,,Afghanistan Government,Mortar was fired at Afghan Security Post. One individual suffered minor injuries.,56,42SXE4039375901,Mortar
Ambush,Afghan government official,Government,People,Individual,Afghanistan,N,N,Legal/Diplomatic,Micro,1,No known physical damage,None,Afghan government official kidnapped by Al-Qaeda,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,1,0,1,1,0,1,1,Major injury,Hostages taken;,Afghanistan Government,Afghan government official was kidnapped by members of Al-Qaeda. One person was killed in the attack. One individual suffered minor injuries.,57,41SPS7808618402,Kidnapping
Ambush,Afghan Security Post,Military,People,Group,Afghanistan,N,N,Attack,Micro,2,Destruction of a vehicle,Vehicle destroyed in attack,Taliban attacks Afghan Security Post,Taliban,Militant Islamist,South Asia,Afghanistan,2,0,2,5,2,7,0,Major and minor injuries,Target wounded in counterattack;,Afghanistan Government,Afghan Security Post came under attack. 2 people were killed in the attack. 7 people suffered minor injuries.,58,41SPT6778360015,Attack
Explosive Device,Market,Civilian,Building,Building,Afghanistan,N,N,Investigation,Micro,1,Damage to a building,Blast caused partial structural damage to Market,Market target of explosion,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,4,0,4,4,0,4,0,Major and minor injuries,,Afghanistan Government,Explosive device detonated. 4 people were killed in the attack. 4 people suffered minor injuries.,59,41SPT5298773087,Bombing
Other,US Military Checkpoint,Military,People,Group,United States,N,N,Attack,Macro,1,No known physical damage,None,Indirect fire attack,Taliban,Militant Islamist,South Asia,Afghanistan,2,2,4,5,2,7,0,Major injuries,Target killed in counterattack; Target wounded in counterattack;,US Military,Indirect fire attack. 4 people were killed in the attack. The attackers seriously injured 7 people.,60,42SXD3162409528,Indirect Fire (IDF)
Ambush,Afghan government official,Government,People,Individual,Afghanistan,N,N,Legal/Diplomatic,Micro,1,No known physical damage,None,Afghan government official kidnapped by Taliban,Taliban,Militant Islamist,South Asia,Afghanistan,1,0,1,0,0,0,1,None,Hostages taken;,Afghanistan Government,Afghan government official was kidnapped by members of Taliban. One person was killed in the attack.,61,41SMU8239748231,Kidnapping
Multimode Attack,US Military Checkpoint,Military,People,Random Selection,United States,N,N,Attack,Micro,1,No known physical damage,None,US Military Checkpoint target of explosion,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,0,0,0,4,0,4,0,Major injuries,,US Military,Explosive device detonated. The attackers seriously injured 4 people.,62,41SNV7396070524,IDF/IED
Explosive Device,US Soldiers,Military,People,Group,United States,N,N,Investigation,Micro,1,No known physical damage,None,Fake IED discovered,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,US Military,A hoax IED was discovered and removed from the premises.,63,41RPR0131535981,Hoax IED
Other,Afghan Soldiers,Military,People,<Null>,Afghanistan,N,N,Investigation,Micro,1,No known physical damage,None,,Taliban,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,Afghanistan Government,,64,41SPT5975141326,Accident
Ambush,US Military convoy,Military,People,Group,United States,N,N,Attack,Micro,0,Damage to a vehicle,Vehicle exterior damaged in attack,Taliban attacks US Military convoy,Taliban,Militant Islamist,South Asia,Afghanistan,1,2,3,1,2,3,0,Major injury,Target killed in counterattack; Target wounded in counterattack;,US Military,US Military convoy came under attack. 3 people were killed in the attack. 3 people suffered minor injuries.,65,42SUE0076587244,Attack
Explosive Device,Afghan Security Post,Military,People,Random Selection,Afghanistan,N,N,Investigation,Micro,1,No known physical damage,None,Explosive device found and cleared,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,Afghanistan Government,An explosive device was discovered and disarmed.,66,41RNR6469435684,IED Found/Cleared
Multimode Attack,Afghan Police,Military,People,Random Selection,Afghanistan,N,N,Attack,Micro,1,No known physical damage,None,Afghan Police target of explosion,Taliban,Militant Islamist,South Asia,Afghanistan,8,0,8,2,0,2,0,Major and minor injuries,,Afghanistan Government,Explosive device detonated. 8 people were killed in the attack. 2 people suffered minor injuries.,67,41SPR7814860457,IDF/IED
Multimode Attack,US Soldiers,Military,People,Random Selection,United States,N,N,Attack,Micro,1,No known physical damage,None,US Soldiers target of explosion,Taliban,Militant Islamist,South Asia,Afghanistan,5,0,5,4,0,4,0,Major and minor injuries,,US Military,Explosive device detonated. 5 people were killed in the attack. 4 people suffered minor injuries.,68,42SVF6038229660,IDF/IED
Ambush,US Soldiers,Military,People,Group,United States,N,N,Attack,Micro,1,No known physical damage,None,Al-Qaeda attacks US Soldiers,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,0,3,3,4,2,6,0,Major and minor injuries,Target killed in counterattack; Target wounded in counterattack;,US Military,US Soldiers came under attack. 3 people were killed in the attack. 6 people suffered minor injuries.,69,42SWB1737206288,Attack
Standoff Weapon,US Soldiers,Military,People,Group,United States,N,N,Other,Micro,1,No known physical damage,None,Mortar fired at US Soldiers,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,6,0,6,0,0,0,0,None,,US Military,Mortar was fired at US Soldiers. 6 people were killed in the attack.,70,42SXD0326808814,Mortar
Ambush,US Soldiers,Military,People,Group,United States,N,N,Attack,Micro,3,No known physical damage,None,Al-Qaeda attacks US Soldiers,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,4,1,5,4,0,4,0,Minor injuries,Target killed in counterattack;,US Military,US Soldiers came under attack. 5 people were killed in the attack. 4 people suffered minor injuries.,71,41SPS4408645668,Attack
Explosive Device,US Military convoy,Military,People,Random Selection,United States,N,Y,Investigation,Micro,1,Destruction of a vehicle,Blast destroyed vehicle beyond repair,US Military convoy target of explosion,Taliban,Militant Islamist,South Asia,Afghanistan,1,0,1,3,0,3,0,Minor injuries,,US Military,Explosive device detonated. One person was killed in the attack. 3 people suffered minor injuries.,72,42SVC4257515139,IED
Explosive Device,US Soldiers,Military,People,Group,United States,N,N,Investigation,Macro,1,No known physical damage,None,US Soldiers target of explosion,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,4,0,4,8,0,8,0,Minor injuries,,US Military,Explosive device detonated. 4 people were killed in the attack. 8 people suffered minor injuries.,73,42SVC7600291773,House Borne IED (HBIED) Explosion
Other,US Soldiers,Military,People,Group,United States,N,N,Attack,Micro,3,No known physical damage,None,Indirect fire attack,Taliban,Militant Islamist,South Asia,Afghanistan,0,2,2,6,0,6,0,Minor injuries,Target killed in counterattack;,US Military,Indirect fire attack. 2 people were killed in the attack. 6 people suffered minor injuries.,74,41SQS3418615737,Indirect Fire (IDF)
Ambush,Afghan Soldiers,Military,People,Group,Afghanistan,N,N,Attack,Micro,3,No known physical damage,None,Combat between Afghan Soldiers and members of Al-Qaeda,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,1,5,6,3,0,3,0,Major injuries,Target killed in counterattack;,Afghanistan Government,Afghan Soldiers engaged in combat. 6 people were killed in the attack. The attackers seriously injured 3 people.,75,42SWC8563314576,Combat
Other,Civilians,Civilian,People,Random Selection,United States,N,Y,Other,Micro,1,No known physical damage,None,Suicide vehicle born IED attacke,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,0,1,1,0,0,0,0,None,Suicide bomber killed in attack;,US Military,A suicide bomber drove a vehicle into a crowded area. One person was killed in the attack.,76,42SVC8096678843,Suicide Vehichile IED (SVBIED)
